projectName,tome,gearName,hcp-func,rootSessionInputLabel,fMRITimeSeries,ConfigKeys,"{'Subject','RegName','fMRIName','BiasCorrection'}",ConfigVals,"{subjectName,'FS',rootSessionTag,'SEBased'}"
Inputs,GradientCoeff,SpinEchoNegative,SpinEchoPositive,StructZip,fMRIScout,fMRITimeSeries,,,
DefaultLabel,coeff.grad,SpinEchoFieldMap_AP,SpinEchoFieldMap_PA,hcp-struct/hcpstruct.zip,,,,,
IsSessionFile,1,0,0,1,0,0,,,
IsAnalysisFile,0,0,0,1,0,0,,,
ExactStringMatch,0,0,0,0,0,0,,,Notes
,,,,,,,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_RETINO_PA_run1_SBRef,TOME_3001/Session 2/tfMRI_RETINO_PA_run1,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_MOVIE_AP_run1_SBRef,TOME_3001/Session 2/tfMRI_MOVIE_AP_run1,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_RETINO_PA_run2_SBRef,TOME_3001/Session 2/tfMRI_RETINO_PA_run2,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_MOVIE_AP_run2_SBRef,TOME_3001/Session 2/tfMRI_MOVIE_AP_run2,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_FLASH_AP_run1_SBRef,TOME_3001/Session 2/tfMRI_FLASH_AP_run1,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_RETINO_AP_run3_SBRef,TOME_3001/Session 2/tfMRI_RETINO_AP_run3,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_MOVIE_PA_run3_SBRef,TOME_3001/Session 2/tfMRI_MOVIE_PA_run3,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_MOVIE_AP_run2_SBRef,TOME_3001/Session 2/tfMRI_MOVIE_AP_run2,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_RETINO_AP_run4_SBRef,TOME_3001/Session 2/tfMRI_RETINO_AP_run4,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_MOVIE_PA_run4_SBRef,TOME_3001/Session 2/tfMRI_MOVIE_PA_run4,,,
TOME_3001,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 2,TOME_3001/Session 1,TOME_3001/Session 2/tfMRI_FLASH_PA_run2_SBRef,TOME_3001/Session 2/tfMRI_FLASH_PA_run2,,,
,,,,,,,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_RETINO_PA_run1_SBRef,TOME_3002/Session 2/tfMRI_RETINO_PA_run1,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_MOVIE_AP_run1_SBRef,TOME_3002/Session 2/tfMRI_MOVIE_AP_run1,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_RETINO_PA_run2_SBRef,TOME_3002/Session 2/tfMRI_RETINO_PA_run2,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_MOVIE_AP_run2_SBRef,TOME_3002/Session 2/tfMRI_MOVIE_AP_run2,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_FLASH_AP_run1_SBRef,TOME_3002/Session 2/tfMRI_FLASH_AP_run1,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_RETINO_AP_run3_SBRef,TOME_3002/Session 2/tfMRI_RETINO_AP_run3,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_MOVIE_PA_run3_SBRef,TOME_3002/Session 2/tfMRI_MOVIE_PA_run3,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_MOVIE_AP_run2_SBRef,TOME_3002/Session 2/tfMRI_MOVIE_AP_run2,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_RETINO_AP_run4_SBRef,TOME_3002/Session 2/tfMRI_RETINO_AP_run4,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_MOVIE_PA_run4_SBRef,TOME_3002/Session 2/tfMRI_MOVIE_PA_run4,,,
TOME_3002,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 2,TOME_3002/Session 1,TOME_3002/Session 2/tfMRI_FLASH_PA_run2_SBRef,TOME_3002/Session 2/tfMRI_FLASH_PA_run2,,,
,,,,,,,,,
TOME_3003,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 1,TOME_3003/Session 2/tfMRI_RETINO_PA_run1_SBRef,TOME_3003/Session 2/tfMRI_RETINO_PA_run1,,,
TOME_3003,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 1,TOME_3003/Session 2/tfMRI_MOVIE_AP_run1_SBRef,TOME_3003/Session 2/tfMRI_MOVIE_AP_run1,,,
TOME_3003,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 1,TOME_3003/Session 2/tfMRI_RETINO_PA_run2_SBRef,TOME_3003/Session 2/tfMRI_RETINO_PA_run2,,,
TOME_3003,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 2,TOME_3003/Session 1,TOME_3003/Session 2/tfMRI_MOVIE_AP_run2_SBRef,TOME_3003/Session 2/tfMRI_MOVIE_AP_run2,,,
